,publisher_link,publisher,journal_link,journal,count,date,ISSN
38,http://edirc.repec.org/data/bidssbd.html,Bangladesh Institute of Development Studies (BIDS),/s/ris/badest.html,Bangladesh Development Studies,262 (150),1995-2016,
39,http://edirc.repec.org/data/bigovid.html,Bank Indonesia,/s/idn/journl.html,Bulletin of Monetary Economics and Banking,444 (444),1998-2019,
40,http://edirc.repec.org/data/bigovid.html,Bank Indonesia,/s/idn/jimfjn.html,Journal of Islamic Monetary Economics and Finance,75 (75),2015-2019,
41,http://edirc.repec.org/data/boigvil.html,Bank of Israel,/s/boi/isrerv.html,Israel Economic Review,134 (134),2003-2018,
42,http://edirc.repec.org/data/cbrgvru.html,Bank of Russia,/s/bkr/journl.html,Russian Journal of Money and Finance,34 (34),2018-2019,
43,,Bentham Open,/s/ben/tofams.html,The Open Family Studies Journal,15 (15),2017-2018,
44,,Bentham Open,/s/ben/tospsj.html,The Open Sports Sciences Journal,38 (38),2017-2018,
45,,Bentham Open,/s/ben/tostpj.html,The Open Statistics and Probability Journal,6 (6),2017-2018,
46,,Bentham Science Publishers,/s/ben/ttebsp.html,Technology Transfer and Entrepreneurship,90 (90),2014-2018,
47,,"Bingol University, Faculty of Economics and Administrative Sciences",/s/bgo/journl.html,Bingol University Journal of Economics and Administrative Sciences,10 (10),2018-2018,
48,,"Biomedical Research Network+, LLC",/s/abf/journl.html,Biomedical Journal of Scientific & Technical Research,1133 (1133),2017-2019,
49,http://edirc.repec.org/data/cepspbr.html,Brazilian Journal of Political Economy (Brazil),/s/ekm/wpaper.html,Brazilian Journal of Political Economy,1512 (1512),1981-2019,1809-4538
50,http://edirc.repec.org/data/bgfbuhu.html,Budapest Business School,/s/bbs/limser.html,Logisztika - Informatika - Menedzsment,7 (7),2016-2018,2498-9037
51,http://edirc.repec.org/data/bgfbuhu.html,Budapest Business School,/s/bbs/prospe.html,Prosperitas,69 (69),2014-2017,2064-759X
52,http://itbf.btu.edu.tr/index.php,Bursa Teknik Üniversitesi,/s/ris/arhuss.html,Academic Review of Humanities and Social Sciences,8 (8),2018-2018,
53,http://www.bussecon.com,Bussecon International,/s/adi/bsrfbs.html,Bussecon Review of Finance & Banking (2687-2501),5 (5),2019-2019,2687-2501
54,http://www.bussecon.com,Bussecon International,/s/adi/bsrsss.html,Bussecon Review of Social Sciences (2687-2285),5 (5),2019-2019,2687-2285
55,http://www.bussecon.com,Bussecon International,/s/adi/ijbess.html,International Journal of Business Ecosystem & Strategy (2687-2293),5 (5),2019-2019,2687-2293
56,https://journals.cambridge.org/jid_BPP,Cambridge University Press,/s/cup/bpubpo.html,Behavioural Public Policy,44 (44),2017-2019,
57,http://edirc.repec.org/data/cepflch.html,Canadian Center of Science and Education,/s/ibn/hesjnl.html,Higher Education Studies,1 (1),2015-2015,
58,http://edirc.repec.org/data/cepflch.html,Canadian Center of Science and Education,/s/ibn/ijcjnl.html,International Journal of Chemistry,8 (8),2019-2019,
59,http://edirc.repec.org/data/cepflch.html,Canadian Center of Science and Education,/s/ibn/ijspjl.html,International Journal of Statistics and Probability,8 (8),2019-2019,
60,http://www.ctf.ca/ctfweb/en,Canadian Tax Foundation,/s/ctf/journl.html,Canadian Tax Journal,92 (92),2013-2018,
61,,Center for Crisis Society Studies,/s/ccs/journl.html,"Outlines of global transformations: politics, economics, law",367 (367),2014-2019,2587-9324
62,http://journal-bpa.org,Center for Experimental and Behavioral Public Administration,/s/bpd/articl.html,Journal of Behavioral Public Administration,23 (23),2018-2019,2576-6465
63,http://edirc.repec.org/data/acecsmd.html,"Center for Studies in European Integration (CSEI), Academy of Economic Studies of Moldova (ASEM)",/s/aem/wpaper.html,CSIE Working Papers,47 (47),2016-2019,2537-6187
64,http://edirc.repec.org/data/acecsmd.html,"Center for Studies in European Integration (CSEI), Academy of Economic Studies of Moldova (ASEM)",/s/aem/journl.html,Eastern European Journal for Regional Studies (EEJRS),76 (76),2015-2018,2537-6179
65,https://ojs.journals.cz/index.php/EJBE,Central Bohemia University,/s/aad/ejbejj.html,European Journal of Business and Economics,154 (154),2010-2017,
66,http://edirc.repec.org/data/aekrapl.html,Centre for Strategic and International Entrepreneurship of the Faculty of Economics and International Relations at the Cracow University of Economics.,/s/krk/eberjl.html,Entrepreneurial Business and Economics Review,192 (192),2013-2017,2353-8821
67,,Chinese Association of Agricultural Economists - CAAE,/s/ags/caaeis.html,Issues in Agricultural Economy,8 (8),2003-2004,
68,,Corporación Universitaria Rafael Nuñez- CURN,/s/col/000515.html,Revista Aglala,14 (14),1970-2016,
69,http://edirc.repec.org/data/csrcmpk.html,"CSRC Publishing, Center for Sustainability Research and Consultancy Pakistan",/s/src/jafeec.html,Journal of Accounting and Finance in Emerging Economies,41 (41),2015-2018,2519-0318
70,http://edirc.repec.org/data/csrcmpk.html,"CSRC Publishing, Center for Sustainability Research and Consultancy Pakistan",/s/src/jbsree.html,Journal of Business and Social Review in Emerging Economies,72 (72),2015-2018,2519-089X
71,http://edirc.repec.org/data/csrcmpk.html,"CSRC Publishing, Center for Sustainability Research and Consultancy Pakistan",/s/src/readsj.html,Review of Economics and Development Studies,70 (70),2015-2018,2519-9692
72,http://lib.dgpu.net/ru/,Dagestan State Pedagogical University,/s/dgs/journl.html,Dagestan State Pedagogical University. Journal. Social and Humanitarian Sciences,136 (135),2018-2019,
73,http://edirc.repec.org/data/tsenobg.html,"D. A. Tsenov Academy of Economics, Svishtov, Bulgaria",/s/dat/almana.html,Scientific Research Almanac,212 (212),2009-2016,
74,https://www.degruyter.com,De Gruyter,/s/bpj/jossai.html,Journal of Systems Science and Information,235 (235),2013-2019,
75,,Delo Publishing house,/s/abz/journl.html,The Economics of Science,122 (122),2015-2019,
76,http://edirc.repec.org/data/uevarbg.html,"Department of Economics, University of Economics - Varna",/s/vra/pr1712.html,"Economy and Economic Theory: Problems and Interactions, Conference Proceedings 2017",29 (29),2017-2017,
77,http://edirc.repec.org/data/dg2ecbe.html,"Directorate General Economic and Financial Affairs (DG ECFIN), European Commission",/s/euf/pfremu.html,Report on Public Finances in EMU,2 (2),2018-2018,
78,http://edirc.repec.org/data/diwbede.html,"DIW Berlin, German Institute for Economic Research",/s/diw/diwdwr.html,DIW Weekly Report,80 (80),2018-2019,2568-7697
79,http://www.rea.ru/,"Ð¤Ð“Ð‘ÐžÐ£ Ð’Ðž ""Ð Ð¾Ñ Ñ Ð¸Ð¹Ñ ÐºÐ¸Ð¹ Ñ ÐºÐ¾Ð½Ð¾Ð¼Ð¸Ñ‡ÐµÑ ÐºÐ¸Ð¹ ÑƒÐ½Ð¸Ð²ÐµÑ€Ñ Ð¸Ñ‚ÐµÑ‚ Ð¸Ð¼. Ð“.Ð’. ÐŸÐ»ÐµÑ…Ð°Ð½Ð¾Ð²Ð°""",/s/acl/journl.html,International Trade and Trade Policy,183 (182),2017-2019,2414-4649
80,http://www.lumenpublishing.com/proceedings,Editura Lumen,/s/lum/prolum.html,LUMEN Proceedings,90 (90),2017-2017,
81,http://www.lumenpublishing.com/proceedings,Editura Lumen,/s/lum/cates7.html,Proceedings CATES 2017,29 (29),2018-2018,
82,http://lumenpublishing.com,Editura LUMEN,/s/lum/proedu.html,Proceedings Education,154 (154),2017-2017,
83,http://www.lumenpublishing.com/proceedings,Editura Lumen,/s/lum/progal.html,Proceedings RCE 2017,55 (55),2017-2017,
84,https://www.journals.elsevier.com/accounting-forum,Elsevier,/s/eee/accfor.html,Accounting forum,166 (166),2008-2018,0155-9982
85,https://www.journals.elsevier.com/advances-in-accounting/,Elsevier,/s/eee/advacc.html,Advances in accounting,220 (220),2013-2019,0882-6110
86,https://www.journals.elsevier.com/australasian-marketing-journal/,Elsevier,/s/eee/aumajo.html,Australasian marketing journal,300 (300),2008-2019,1441-3582
87,https://www.journals.elsevier.com/critical-perspectives-on-accounting/,Elsevier,/s/eee/crpeac.html,CRITICAL PERSPECTIVES ON ACCOUNTING,600 (600),2008-2019,
88,https://www.journals.elsevier.com/ecosystem-services,Elsevier,/s/eee/ecoser.html,Ecosystem Services,817 (817),2012-2019,2212-0416
89,https://www.journals.elsevier.com/environmental-science-and-policy/,Elsevier,/s/eee/enscpo.html,Environmental Science & Policy,397 (397),2016-2017,1462-9011
90,https://www.journals.elsevier.com/international-journal-of-accounting-information-systems/,Elsevier,/s/eee/ijoais.html,International Journal of Accounting Information Systems,193 (193),2008-2019,1467-0895
91,https://www.journals.elsevier.com/international-journal-of-research-in-marketing/,Elsevier,/s/eee/ijrema.html,International Journal of Research in Marketing,478 (478),2008-2019,0167-8116
92,https://www.journals.elsevier.com/journal-of-accounting-education,Elsevier,/s/eee/joaced.html,Journal of Accounting Education,224 (224),2008-2019,0748-5751
93,https://www.journals.elsevier.com/journal-of-accounting-literature,Elsevier,/s/eee/joacli.html,Journal of Accounting Literature,44 (44),2013-2019,0737-4607
94,https://www.journals.elsevier.com/journal-of-business-venturing-insights,Elsevier,/s/eee/jobuve.html,Journal of Business Venturing Insights,127 (127),2014-2019,2352-6734
95,https://www.journals.elsevier.com/journal-of-contemporary-accounting-and-economics,Elsevier,/s/eee/jocaae.html,Journal of Contemporary Accounting and Economics,146 (146),2008-2019,1815-5669
96,https://www.journals.elsevier.com/journal-of-interactive-marketing/,Elsevier,/s/eee/joinma.html,Journal of Interactive Marketing,280 (280),2008-2019,1094-9968
97,https://www.journals.elsevier.com/journal-of-international-accounting-auditing-and-taxation,Elsevier,/s/eee/jiaata.html,"Journal of International Accounting, Auditing and Taxation",137 (137),2008-2019,1061-9518
98,https://www.journals.elsevier.com/journal-of-retailing,Elsevier,/s/eee/jouret.html,Journal of Retailing,399 (399),2008-2019,0022-4359
99,https://www.journals.elsevier.com/journal-of-retailing-and-consumer-services,Elsevier,/s/eee/joreco.html,Journal of Retailing and Consumer Services,1233 (1233),2008-2019,0969-6989
100,https://www.journals.elsevier.com/journal-of-transport-geography,Elsevier,/s/eee/jotrge.html,Journal of Transport Geography,1449 (1449),2008-2019,0966-6923
101,https://www.journals.elsevier.com/research-in-accounting-regulation,Elsevier,/s/eee/reacre.html,Research in Accounting Regulation,198 (198),2008-2018,1052-0457
102,https://www.journals.elsevier.com/the-british-accounting-review,Elsevier,/s/eee/bracre.html,The British Accounting Review,53 (53),2018-2019,0890-8389
103,https://www.journals.elsevier.com/the-journal-of-economic-asymmetries/,Elsevier,/s/eee/joecas.html,The Journal of Economic Asymmetries,208 (208),2008-2019,1703-4949
104,http://edirc.repec.org/data/erinajp.html,ERINA - Economic Research Institute for Northeast Asia,/s/eri/review.html,The Northeast Asian Economic Review,48 (48),2013-2018,
105,,"Establishment ""The Main Information and Analytical Center of the Ministry of Education of the Republic of Belarus""",/s/abx/journl.html,Digital Transformation,86 (86),2015-2019,2524-2822
106,http://journals.euser.org/index.php/ejed,European Center for Science Education and Research,/s/eur/ejedjr.html,European Journal of Education,43 (43),2018-2018,
107,http://journals.euser.org/index.php/ejfe,European Center for Science Education and Research,/s/eur/ejfejr.html,European Journal of Formal Sciences and Engineering,20 (20),2018-2018,
108,http://journals.euser.org/index.php/ejme,European Center for Science Education and Research,/s/eur/ejmejr.html,European Journal of Marketing and Economics,55 (55),2018-2018,
109,http://journals.euser.org/index.php/ejss,European Center for Science Education and Research,/s/eur/ejssjr.html,European Journal of Social Sciences,47 (47),2018-2018,
110,http://edirc.repec.org/data/emieude.html,European Central Bank,/s/ecb/ecbart.html,Economic Bulletin Articles,24 (24),2018-2019,
111,http://edirc.repec.org/data/emieude.html,European Central Bank,/s/ecb/ecbbox.html,Economic Bulletin Boxes,64 (64),2017-2019,
112,http://edirc.repec.org/data/emieude.html,European Central Bank,/s/ecb/fsrart.html,Financial Stability Review,42 (42),2013-2019,
113,http://edirc.repec.org/data/emieude.html,European Central Bank,/s/ecb/ecbmbu.html,Macroprudential Bulletin,22 (22),2016-2019,
114,http://edirc.repec.org/data/femanco.html,"Facultad de Ciencias Contables, Económicas y Administrativas, Universidad de Manizales.",/s/mnz/lumina.html,"Lúmina. Revista iberoamericana de Contabilidad, Administración y Economía",22 (22),2015-2017,2619-6174
115,http://edirc.repec.org/data/fcucuec.html,"Facultad de Ciencias Económicas y Administrativas, Universidad de Cuenca.",/s/cun/journl.html,Archivos Revista Economía y Política.,59 (59),2014-2019,
116,http://edirc.repec.org/data/fefzghr.html,"Faculty of Economics and Business, University of Zagreb",/s/zag/busexc.html,Poslovna izvrsnost/Business Excellence,50 (50),2016-2018,1848-9060
117,http://edirc.repec.org/data/frbdaus.html,Federal Reserve Bank of Dallas,/s/fip/feddco.html,Community Outlook,2 (2),2016-2017,
118,http://edirc.repec.org/data/frigvru.html,"Financial Research Institute, Moscow 127006, Russia",/s/fru/finjrn.html,Finansovyj žhurnal — Financial Journal,620 (620),2010-2019,2075-1990
119,http://edirc.repec.org/data/feemmit.html,Fondazione Eni Enrico Mattei,/s/fem/fbrief.html,Briefs,7 (7),2018-2018,
120,http://edirc.repec.org/data/feemmit.html,Fondazione Eni Enrico Mattei,/s/fem/frepor.html,Reports,8 (8),2017-2018,
121,http://edirc.repec.org/data/eafgvbr.html,"Fundação Getulio Vargas, Escola de Administração de Empresas de São Paulo (FGV EAESP)",/s/ags/jjoscm.html,Journal of Operations and Supply Chain Management (JOSCM),184 (184),2008-2018,
122,https://fundacjacognitione.org,"Fundacja Upowszechniająca Wiedzę i Naukę ""Cognitione""",/s/aae/journl.html,"Journal of Entrepreneurship, Management and Innovation",190 (190),2012-2019,
123,http://edirc.repec.org/data/fegakjp.html,"Gakushuin University, Faculty of Economics",/s/abc/gakuep.html,Gakushuin Economic Papers,102 (102),2008-2019,
124,https://www.hindawi.com,Hindawi,/s/hin/complx.html,Abstract and Applied Analysis,15 (15),2018-2019,
125,https://www.hindawi.com,Hindawi,/s/hin/jjmath.html,International Journal of Stochastic Analysis,1 (1),2015-2015,
126,http://markenbrand.com/,"Hochschule Neu-Ulm, Kompetenzzentrum Marketing & Branding",/s/zbw/hnumbr.html,Markenbrand: Die Strategiequelle - Zeitschrift für Markenstrategie,29 (29),2012-2018,2195-4933
127,https://www.grrjournal.com/,Humanity Only,/s/aaw/journl.html,Global Regional Review,34 (34),2016-2018,
128,https://www.gssrjournal.com/,Humanity Only,/s/gss/journl.html,Global Social Sciences Review,194 (194),2016-2019,
129,http://edirc.repec.org/data/ifooode.html,ifo Institute - Leibniz Institute for Economic Research at the University of Munich,/s/ces/ifowes.html,ifo World Economic Survey,69 (69),2002-2019,
130,http://www.inderscience.com/browse/index.php?journalID=413,Inderscience Enterprises Ltd,/s/ids/ijbise.html,International Journal of Business Intelligence and Systems Engineering,4 (4),2019-2019,1753-9412
131,http://edirc.repec.org/data/inrapfr.html,Institut National de la Recherche Agronomique (INRA),/s/ags/frraes.html,Review of Agricultural and Environmental Studies - Revue d'Etudes en Agriculture et Environnement (RAEStud),258 (258),2008-2016,
132,http://edirc.repec.org/data/inrapfr.html,Institut National de la Recherche Agronomique (INRA),/s/ags/frrfes.html,"Review of Agricultural, Food and Environmental Studies",65 (65),2017-2019,
133,http://edirc.repec.org/data/inrapfr.html,"Institut National de la recherche Agronomique (INRA), Departement Sciences Sociales, Agriculture et Alimentation, Espace et Environnement (SAE2)",/s/ags/inrass.html,INRA Sciences Sociales,305 (305),2000-2019,
134,http://edirc.repec.org/data/inseefr.html,Institut National de la Statistique et des Études Économiques (INSEE),/s/nse/ecosta.html,Economie et Statistique / Economics and Statistics,78 (78),2017-2019,0336-1454
135,http://edirc.repec.org/data/deunsar.html,Instituto Tecnológico del Sur. Bahía Blanca,/s/uns/tececo.html,Tecnica y economía,54 (54),1949-1952,
136,http://ijsser.org/,International Journal of Social Science and Economic Research,/s/ags/ijsser.html,International Journal of Social Science and Economic Research,3 (3),2017-2017,
137,http://edirc.repec.org/data/ispedur.html,International Society for projects in Education and Research,/s/edr/sswrgl.html,Sociology and Social Work Review,32 (32),2017-2019,2573-3222
138,https://ojs.journals.cz/index.php/CBUIC,ISE Research Institute,/s/aad/iseicj.html,CBU International Conference Proceedings,277 (277),2013-2018,
139,http://edirc.repec.org/data/ifisttr.html,Istanbul Journal of Economics-Istanbul Iktisat Dergisi,/s/ijs/journl.html,Istanbul Journal of Economics-Istanbul Iktisat Dergisi,10 (10),2018-2018,
140,https://doi.org/10.1111/(ISSN)1911-3838,John Wiley & Sons,/s/wly/accper.html,Accounting Perspectives,190 (190),2007-2019,1911-3838
141,https://doi.org/10.1111/(ISSN)1540-5907,John Wiley & Sons,/s/wly/amposc.html,American Journal of Political Science,1043 (1043),2003-2019,1540-5907
142,https://doi.org/10.1002/(ISSN)1099-0747,John Wiley & Sons,/s/wly/apsmda.html,Applied Stochastic Models and Data Analysis,342 (342),1985-1999,1099-0747
143,https://doi.org/10.1002/(ISSN)1526-4025,John Wiley & Sons,/s/wly/apsmbi.html,Applied Stochastic Models in Business and Industry,1067 (1067),1999-2019,1526-4025
144,https://doi.org/10.1111/(ISSN)1891-1803,John Wiley & Sons,/s/wly/camsys.html,Campbell Systematic Reviews,417 (417),2005-2019,1891-1803
145,https://doi.org/10.1111/(ISSN)1911-3846,John Wiley & Sons,/s/wly/coacre.html,Contemporary Accounting Research,1444 (1444),1984-2019,1911-3846
146,https://doi.org/10.1111/(ISSN)1468-2397,John Wiley & Sons,/s/wly/injsow.html,International Journal of Social Welfare,88 (88),2011-2019,1468-2397
147,https://doi.org/10.1111/(ISSN)1539-6924,John Wiley & Sons,/s/wly/riskan.html,Risk Analysis,4344 (4344),1981-2019,1539-6924
148,https://doi.org/10.1002/(ISSN)2325-8012,John Wiley & Sons,/s/wly/soecon.html,Southern Economic Journal,161 (161),2017-2019,2325-8012
149,https://doi.org/10.1002/(ISSN)1757-7799,John Wiley & Sons,/s/wly/wirecc.html,Wiley Interdisciplinary Reviews: Climate Change,55 (55),2018-2019,1757-7799
150,http://edirc.repec.org/data/degraus.html,Journal of Tourism Research,/s/jtr/journl.html,Tourism Research Institute,120 (120),2010-2017,
151,http://edirc.repec.org/data/fekaraf.html,"Kardan University, Department of Economics",/s/kar/journl.html,Kardan Journal of Economics and Management Sciences,15 (15),2018-2018,
152,https://www.karmaquest.org/journal/,KarmaQuest Internatioinal,/s/kqi/journl.html,Journal of Development Innovations,14 (14),2017-2018,2371-9540
153,http://edirc.repec.org/data/fmkaspk.html,Khadim Ali Shah Bukhari Institute of Technology (KASBIT),/s/ksb/joumhr.html,Journal of Management and Human Resource (JMHR),8 (8),2018-2018,
154,http://edirc.repec.org/data/fmkaspk.html,Khadim Ali Shah Bukhari Institute of Technology (KASBIT),/s/ksb/jourml.html,Journal of Marketing and Logistics (JML),2 (2),2018-2018,
155,http://edirc.repec.org/data/cikausa.html,"King Abdulaziz University, Islamic Economics Institute.",/s/abd/kauiea.html,Journal of King Abdulaziz University: Islamic Economics,452 (452),1989-2018,
156,http://edirc.repec.org/data/cikausa.html,"King Abdulaziz University, Islamic Economics Institute.",/s/abd/crieja.html,Journal of Research in Islamic Economics,113 (113),1983-1985,
157,http://knowledge-press.com/index.php/ATSSR,Knowledge Press,/s/kpr/atissr.html,Asian Themes in Social Sciences Research,10 (10),2018-2018,
158,http://knowledge-press.com/index.php/TASR,Knowledge Press,/s/kpr/tiasre.html,Themes in Applied Sciences Research,2 (2),2018-2018,
159,http://edirc.repec.org/data/kdiiikr.html,Korea Development Institute (KDI),/s/zbw/kdijep.html,KDI Journal of Economic Policy,71 (71),2015-2019,2586-4130
160,http://edirc.repec.org/data/ksecoua.html,Kyiv School of Economics,/s/kse/modern.html,Modern Economic Studies,13 (13),2018-2019,
161,http://edirc.repec.org/data/ksecoua.html,Kyiv School of Economics,/s/kse/chasop.html,Suchasni ekonomichni doslidzhennja,7 (7),2018-2018,
162,,"Lupine Publishers, LLC",/s/abr/lojpcr.html,LOJ Pharmacology & Clinical Research,2 (2),2019-2019,
163,,"Lupine Publishers, LLC",/s/abr/oajcam.html,Open Access Journal of Complementary & Alternative Medicine,4 (4),2019-2019,
164,,Malaysian Finance Association,/s/mfa/journl.html,Capital Markets Review,154 (154),1993-2016,
165,http://ijaer.in/,Malwa International Journals Publication,/s/ags/ijaeri.html,International Journal of Agriculture and Environmental Research,10 (10),2017-2017,
166,https://www.mdpi.com/,"MDPI, Open Access Journal",/s/gam/joitmc.html,"Journal of Open Innovation: Technology, Market, and Complexity",141 (141),2015-2019,2199-8531
167,,Mendel University Press,/s/mup/actaun.html,Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis,1186 (1186),2004-2019,2464-8310
168,http://edirc.repec.org/data/mfpgvcu.html,"Ministerio de Finanzas y Precios, Cuba",/s/ris/rcubfp.html,Revista Cubana de Finanzas y Precios,65 (65),2017-2018,
169,http://misis.ru,MISiS,/s/ach/journl.html,Russian Journal of Industrial Economics,654 (641),2015-2019,2413-662X
170,http://edirc.repec.org/data/mbcbiir.html,"Monetary and Banking Research Institute, Central Bank of the Islamic Republic of Iran",/s/mbr/jmonec.html,Journal of Money and Economy,169 (169),2009-2017,
171,http://edirc.repec.org/data/mbcbiir.html,"Monetary and Banking Research Institute, Central Bank of the Islamic Republic of Iran",/s/mbr/jmbres.html,"Monetary & Banking Research (In Persian, Persian Title: پژوهش‌های پولی-بانکی)",10 (10),2009-2018,
172,http://edirc.repec.org/data/hsecoru.html,National Research University Higher School of Economics,/s/hig/ecohse.html,HSE Economic Journal,39 (39),2017-2019,
173,,Nigerian Journal of Agricultural Economics,/s/ags/naaenj.html,Nigerian Journal of Agricultural Economics,79 (79),2011-2018,
174,http://www.nomos.de/,Nomos Verlagsgesellschaft mbH & Co. KG,/s/nms/untern.html,Die Unternehmung - Swiss Journal of Business Research and Practice,192 (192),2011-2019,0042-059X
175,http://www.nomos.de/,Nomos Verlagsgesellschaft mbH & Co. KG,/s/nms/joeems.html,Journal of East European Management Studies,234 (234),2007-2019,0949-6181
176,http://www.nomos.de/,Nomos Verlagsgesellschaft mbH & Co. KG,/s/nms/joseer.html,SEER Journal for Labour and Social Affairs in Eastern Europe,317 (317),2007-2018,1435-2869
177,http://www.nomos.de/,Nomos Verlagsgesellschaft mbH & Co. KG,/s/nms/wsimit.html,WSI-Mitteilungen,999 (999),2007-2019,0342-300X
